ALM;Almacén
APP;App
ATENC;Atenciones
CATER;CATERING
CLUB;Club Socios
COLAB;Colaboraciones
COMPR;Compras
DCH;Derechos
DCHINS;Dcho Inscrip
DESAY;Desayunos
DISTRI;Distribución
DOM;Dominios
EJEMPL;Ejemplares
ELECTR;Electricidad
EMAIL;Emailing
ENCAR;Encartes
ENTRAD;Entradas
ESPAC;ESPACIOS
EVEVAR;Eventos Varios
EXPDIG;Expansión Digital
EXPRRSS;Expansión RRSS
GEN;Generales
GESMAIL;Gestion de emailing
GTOVIA;Gtos viaje
GVISIT;Guía del visitante
HOSTING;Hosting
INBOUND;Proyecto Inboud Commerce
INTCOM;Intercamios comerciales
JORDRO;Jornada Drones
MAIPOS;Mailing postal
MARDIG;Marketing Dig
MKT;Marketing
NEWSL;Newsletter
OTROS;Otros
PATRO;Patrocinio
PECKBS;Licencia Business
PECKEV;Licencia Events
PRODU;Producción
PUBPAP;Publi Papel
REMKT;Remarketing
RRSS;RRSS
SEGURO;Seguros
SHAK;Shakers
SOFTW;software
SOPORT;Soporte
STAND;Stand
SUSCR;Suscripciones
TIENGD;Tienda GD Web
TRAPRO;Trabajos Producción
VARIO;Varios
VIPSIC;VIP SICUR
VTAEJE;Venta Ejemplares
WEB;Web
