PECK;ACRED;GEN
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
